Vardas                           Pavarde                         1nd  2nd  3nd  4nd  5nd egz.
Vardas498                        Pavarde498                       4    4    5    5    1    4    
Vardas499                        Pavarde499                       9    1    3    3    1    3    
Vardas500                        Pavarde500                       4    1    4    5    1    1    
Vardas501                        Pavarde501                       5    7    3    1    2    9    
Vardas502                        Pavarde502                       5    1    4    6    6    7    
Vardas503                        Pavarde503                       4    7    2    4    2    2    
Vardas504                        Pavarde504                       9    4    2    7    3    1    
Vardas505                        Pavarde505                       5    3    5    1    4    2    
Vardas506                        Pavarde506                       4    7    3    2    7    1    
Vardas507                        Pavarde507                       1    3    5    10   5    1    
Vardas508                        Pavarde508                       9    10   10   1    8    8    
Vardas509                        Pavarde509                       3    2    9    7    8    5    
Vardas510                        Pavarde510                       3    7    5    6    1    3    
Vardas511                        Pavarde511                       10   10   8    8    5    8    
Vardas512                        Pavarde512                       6    2    2    2    10   2    
Vardas513                        Pavarde513                       1    1    6    1    10   2    
Vardas514                        Pavarde514                       1    7    7    6    10   4    
Vardas515                        Pavarde515                       2    4    9    8    8    10   
Vardas516                        Pavarde516                       5    6    6    7    4    7    
Vardas517                        Pavarde517                       4    8    1    10   8    1    
Vardas518                        Pavarde518                       1    10   1    7    10   2    
Vardas519                        Pavarde519                       5    4    6    7    8    5    
Vardas520                        Pavarde520                       3    3    1    7    8    2    
Vardas521                        Pavarde521                       1    2    1    6    10   9    
Vardas522                        Pavarde522                       6    2    10   1    7    8    
Vardas523                        Pavarde523                       7    8    5    2    4    7    
Vardas524                        Pavarde524                       10   5    2    5    10   10   
Vardas525                        Pavarde525                       5    9    3    3    4    7    
Vardas526                        Pavarde526                       1    6    2    5    4    7    
Vardas527                        Pavarde527                       1    4    10   2    1    3    
Vardas528                        Pavarde528                       10   3    2    10   2    4    
Vardas529                        Pavarde529                       8    6    5    4    1    4    
Vardas530                        Pavarde530                       2    4    10   5    10   6    
Vardas531                        Pavarde531                       8    7    6    2    6    4    
Vardas532                        Pavarde532                       8    9    4    9    5    6    
Vardas533                        Pavarde533                       8    1    7    6    9    2    
Vardas534                        Pavarde534                       7    6    4    2    3    6    
Vardas535                        Pavarde535                       3    8    10   3    10   5    
Vardas536                        Pavarde536                       7    2    4    4    9    3    
Vardas537                        Pavarde537                       6    4    2    2    10   2    
Vardas538                        Pavarde538                       7    6    8    7    5    7    
Vardas539                        Pavarde539                       10   9    7    7    3    5    
Vardas540                        Pavarde540                       9    10   8    8    3    1    
Vardas541                        Pavarde541                       1    3    2    5    7    1    
Vardas542                        Pavarde542                       6    5    6    6    3    4    
Vardas543                        Pavarde543                       9    7    5    5    6    5    
Vardas544                        Pavarde544                       4    9    3    5    1    4    
Vardas545                        Pavarde545                       1    5    8    4    8    10   
Vardas546                        Pavarde546                       2    8    5    9    9    3    
Vardas547                        Pavarde547                       1    4    10   7    9    9    
Vardas548                        Pavarde548                       9    7    6    4    1    9    
Vardas549                        Pavarde549                       6    3    3    10   2    6    
Vardas550                        Pavarde550                       4    2    8    1    6    5    
Vardas551                        Pavarde551                       7    10   7    8    5    2    
Vardas552                        Pavarde552                       7    4    5    2    9    1    
Vardas553                        Pavarde553                       4    1    1    3    5    1    
Vardas554                        Pavarde554                       3    2    3    1    8    9    
Vardas555                        Pavarde555                       1    8    7    10   3    8    
Vardas556                        Pavarde556                       5    8    5    10   1    2    
Vardas557                        Pavarde557                       7    10   3    8    6    5    
Vardas558                        Pavarde558                       2    10   2    6    3    8    
Vardas559                        Pavarde559                       5    5    2    8    7    3    
Vardas560                        Pavarde560                       5    4    2    9    7    10   
Vardas561                        Pavarde561                       3    3    8    7    3    10   
Vardas562                        Pavarde562                       6    10   9    7    7    8    
Vardas563                        Pavarde563                       4    1    7    3    10   3    
Vardas564                        Pavarde564                       8    3    6    3    10   8    
Vardas565                        Pavarde565                       1    6    4    7    4    7    
Vardas566                        Pavarde566                       8    10   9    10   7    3    
Vardas567                        Pavarde567                       4    7    4    5    6    1    
Vardas568                        Pavarde568                       8    6    5    8    5    2    
Vardas569                        Pavarde569                       8    8    10   3    1    5    
Vardas570                        Pavarde570                       9    1    7    2    7    6    
Vardas571                        Pavarde571                       3    6    3    10   7    3    
Vardas572                        Pavarde572                       1    9    7    8    6    8    
Vardas573                        Pavarde573                       9    8    9    4    5    10   
Vardas574                        Pavarde574                       3    5    9    1    7    5    
Vardas575                        Pavarde575                       10   9    3    5    7    1    
Vardas576                        Pavarde576                       5    7    2    2    5    1    
Vardas577                        Pavarde577                       9    9    7    2    3    8    
Vardas578                        Pavarde578                       2    3    9    3    7    1    
Vardas579                        Pavarde579                       10   4    9    9    4    5    
Vardas580                        Pavarde580                       4    10   9    7    7    3    
Vardas581                        Pavarde581                       8    1    10   7    9    7    
Vardas582                        Pavarde582                       8    5    2    6    2    5    
Vardas583                        Pavarde583                       6    6    4    3    4    5    
Vardas584                        Pavarde584                       9    4    6    4    7    6    
Vardas585                        Pavarde585                       10   7    9    5    2    5    
Vardas586                        Pavarde586                       2    3    9    1    10   2    
Vardas587                        Pavarde587                       9    3    9    6    4    2    
Vardas588                        Pavarde588                       6    4    9    2    3    5    
Vardas589                        Pavarde589                       10   8    10   6    1    4    
Vardas590                        Pavarde590                       9    5    5    10   3    5    
Vardas591                        Pavarde591                       5    1    2    2    5    6    
Vardas592                        Pavarde592                       2    10   1    5    10   3    
Vardas593                        Pavarde593                       4    4    1    3    6    9    
Vardas594                        Pavarde594                       9    5    6    9    9    10   
Vardas595                        Pavarde595                       3    2    10   9    10   4    
Vardas596                        Pavarde596                       10   5    2    5    4    3    
Vardas597                        Pavarde597                       10   2    8    10   1    8    
Vardas598                        Pavarde598                       7    7    7    8    6    9    
Vardas599                        Pavarde599                       1    2    8    5    5    3    
Vardas600                        Pavarde600                       4    4    10   10   8    5    
Vardas601                        Pavarde601                       6    5    8    9    9    6    
Vardas602                        Pavarde602                       10   1    9    1    7    7    
Vardas603                        Pavarde603                       10   8    9    8    10   7    
Vardas604                        Pavarde604                       3    2    2    10   4    3    
Vardas605                        Pavarde605                       9    9    8    7    10   8    
Vardas606                        Pavarde606                       5    10   2    5    9    4    
Vardas607                        Pavarde607                       4    2    2    6    9    2    
Vardas608                        Pavarde608                       8    4    2    3    8    5    
Vardas609                        Pavarde609                       7    5    5    1    2    10   
Vardas610                        Pavarde610                       1    7    10   9    10   6    
Vardas611                        Pavarde611                       6    5    10   5    4    4    
Vardas612                        Pavarde612                       5    8    7    3    5    7    
Vardas613                        Pavarde613                       7    3    5    7    2    5    
Vardas614                        Pavarde614                       9    1    3    1    4    8    
Vardas615                        Pavarde615                       8    5    9    10   5    5    
Vardas616                        Pavarde616                       2    4    5    10   3    4    
Vardas617                        Pavarde617                       7    2    8    3    7    10   
Vardas618                        Pavarde618                       10   7    1    4    3    1    
Vardas619                        Pavarde619                       1    6    4    1    9    10   
Vardas620                        Pavarde620                       3    1    6    10   2    9    
Vardas621                        Pavarde621                       7    1    2    1    2    8    
Vardas622                        Pavarde622                       3    10   9    10   9    5    
Vardas623                        Pavarde623                       6    5    4    5    1    8    
Vardas624                        Pavarde624                       3    9    2    6    1    8    
Vardas625                        Pavarde625                       2    2    3    2    6    1    
Vardas626                        Pavarde626                       7    3    1    2    10   9    
Vardas627                        Pavarde627                       10   10   8    4    9    5    
Vardas628                        Pavarde628                       8    5    1    2    8    4    
Vardas629                        Pavarde629                       2    7    10   5    4    4    
Vardas630                        Pavarde630                       9    1    2    10   6    7    
Vardas631                        Pavarde631                       7    5    7    6    10   6    
Vardas632                        Pavarde632                       10   1    5    8    4    5    
Vardas633                        Pavarde633                       4    6    5    1    7    9    
Vardas634                        Pavarde634                       1    4    4    8    3    1    
Vardas635                        Pavarde635                       10   3    10   8    5    3    
Vardas636                        Pavarde636                       2    2    3    7    8    2    
Vardas637                        Pavarde637                       7    4    1    10   6    5    
Vardas638                        Pavarde638                       7    6    6    10   6    6    
Vardas639                        Pavarde639                       3    1    9    8    2    2    
Vardas640                        Pavarde640                       6    6    6    6    1    5    
Vardas641                        Pavarde641                       2    7    2    5    8    5    
Vardas642                        Pavarde642                       4    7    8    3    8    4    
Vardas643                        Pavarde643                       6    9    2    4    6    10   
Vardas644                        Pavarde644                       1    5    9    7    9    9    
Vardas645                        Pavarde645                       7    10   4    7    5    3    
Vardas646                        Pavarde646                       5    4    6    9    3    7    
Vardas647                        Pavarde647                       2    5    3    7    4    5    
Vardas648                        Pavarde648                       2    5    6    4    2    6    
Vardas649                        Pavarde649                       2    8    7    8    1    7    
Vardas650                        Pavarde650                       8    9    1    4    4    8    
Vardas651                        Pavarde651                       2    10   2    9    7    3    
Vardas652                        Pavarde652                       10   1    4    10   2    8    
Vardas653                        Pavarde653                       10   6    6    5    8    7    
Vardas654                        Pavarde654                       8    4    2    10   7    6    
Vardas655                        Pavarde655                       8    4    1    6    4    10   
Vardas656                        Pavarde656                       1    5    8    3    9    4    
Vardas657                        Pavarde657                       6    7    9    10   6    3    
Vardas658                        Pavarde658                       9    3    6    5    7    9    
Vardas659                        Pavarde659                       4    2    4    4    4    2    
Vardas660                        Pavarde660                       5    6    6    8    7    6    
Vardas661                        Pavarde661                       8    5    3    3    1    9    
Vardas662                        Pavarde662                       6    9    1    9    10   6    
Vardas663                        Pavarde663                       4    3    6    1    9    8    
Vardas664                        Pavarde664                       9    8    10   7    4    6    
Vardas665                        Pavarde665                       2    6    7    6    4    6    
Vardas666                        Pavarde666                       2    3    7    4    3    8    
Vardas667                        Pavarde667                       7    6    2    6    10   3    
Vardas668                        Pavarde668                       4    9    2    3    8    1    
Vardas669                        Pavarde669                       9    3    8    4    2    6    
Vardas670                        Pavarde670                       9    8    5    7    2    2    
Vardas671                        Pavarde671                       5    10   8    6    6    2    
Vardas672                        Pavarde672                       8    4    8    3    5    8    
Vardas673                        Pavarde673                       7    8    9    6    5    5    
Vardas674                        Pavarde674                       3    5    7    7    2    3    
Vardas675                        Pavarde675                       1    9    6    2    8    3    
Vardas676                        Pavarde676                       5    10   6    7    1    6    
Vardas677                        Pavarde677                       10   7    4    8    7    9    
Vardas678                        Pavarde678                       7    5    5    8    5    1    
Vardas679                        Pavarde679                       7    2    6    10   5    9    
Vardas680                        Pavarde680                       10   8    8    4    1    7    
Vardas681                        Pavarde681                       5    3    7    10   7    8    
Vardas682                        Pavarde682                       7    10   5    8    7    5    
Vardas683                        Pavarde683                       3    2    8    9    1    3    
Vardas684                        Pavarde684                       6    4    5    4    1    9    
Vardas685                        Pavarde685                       7    8    1    8    1    3    
Vardas686                        Pavarde686                       9    1    4    9    4    9    
Vardas687                        Pavarde687                       7    9    6    4    7    10   
Vardas688                        Pavarde688                       2    1    9    1    3    3    
Vardas689                        Pavarde689                       5    7    8    5    1    7    
Vardas690                        Pavarde690                       4    6    4    3    6    6    
Vardas691                        Pavarde691                       7    6    4    9    10   5    
Vardas692                        Pavarde692                       6    10   8    2    5    5    
Vardas693                        Pavarde693                       6    7    8    10   8    7    
Vardas694                        Pavarde694                       3    10   2    6    10   1    
Vardas695                        Pavarde695                       4    10   2    1    8    8    
Vardas696                        Pavarde696                       4    1    8    10   5    8    
Vardas697                        Pavarde697                       3    10   5    2    6    4    
Vardas698                        Pavarde698                       5    9    1    8    4    4    
Vardas699                        Pavarde699                       1    4    6    2    7    10   
Vardas700                        Pavarde700                       6    5    3    2    6    8    
Vardas701                        Pavarde701                       8    8    5    8    8    6    
Vardas702                        Pavarde702                       10   2    8    9    7    9    
Vardas703                        Pavarde703                       7    5    2    5    10   1    
Vardas704                        Pavarde704                       9    2    4    10   9    3    
Vardas705                        Pavarde705                       8    2    7    1    1    1    
Vardas706                        Pavarde706                       8    9    6    2    5    9    
Vardas707                        Pavarde707                       3    3    5    5    1    4    
Vardas708                        Pavarde708                       2    8    10   2    2    2    
Vardas709                        Pavarde709                       8    7    5    3    9    6    
Vardas710                        Pavarde710                       10   8    5    4    5    4    
Vardas711                        Pavarde711                       4    3    3    4    4    7    
Vardas712                        Pavarde712                       10   4    8    10   7    8    
Vardas713                        Pavarde713                       10   5    6    2    5    9    
Vardas714                        Pavarde714                       2    9    10   4    9    3    
Vardas715                        Pavarde715                       10   10   2    1    10   3    
Vardas716                        Pavarde716                       9    9    4    9    7    6    
Vardas717                        Pavarde717                       6    9    3    3    4    3    
Vardas718                        Pavarde718                       7    7    4    10   10   7    
Vardas719                        Pavarde719                       5    9    10   1    4    7    
Vardas720                        Pavarde720                       10   6    9    7    10   9    
Vardas721                        Pavarde721                       4    8    3    9    8    2    
Vardas722                        Pavarde722                       1    4    8    8    5    8    
Vardas723                        Pavarde723                       8    8    8    5    3    6    
Vardas724                        Pavarde724                       5    10   1    7    3    5    
Vardas725                        Pavarde725                       4    2    4    4    5    7    
Vardas726                        Pavarde726                       7    4    9    2    2    5    
Vardas727                        Pavarde727                       1    10   7    4    7    8    
Vardas728                        Pavarde728                       4    5    7    5    6    6    
Vardas729                        Pavarde729                       1    9    6    9    2    3    
Vardas730                        Pavarde730                       10   4    10   9    5    8    
Vardas731                        Pavarde731                       3    9    5    4    1    6    
Vardas732                        Pavarde732                       5    4    5    7    5    10   
Vardas733                        Pavarde733                       3    7    10   10   9    2    
Vardas734                        Pavarde734                       5    6    1    4    6    6    
Vardas735                        Pavarde735                       3    1    7    1    4    10   
Vardas736                        Pavarde736                       1    3    5    8    10   8    
Vardas737                        Pavarde737                       6    5    5    3    6    3    
Vardas738                        Pavarde738                       3    4    9    8    3    5    
Vardas739                        Pavarde739                       2    3    5    1    7    2    
Vardas740                        Pavarde740                       9    2    7    1    2    3    
Vardas741                        Pavarde741                       5    1    5    1    2    7    
Vardas742                        Pavarde742                       6    9    6    6    9    1    
Vardas743                        Pavarde743                       7    5    6    5    7    8    
Vardas744                        Pavarde744                       1    9    5    2    4    2    
Vardas745                        Pavarde745                       4    5    6    3    10   9    
Vardas746                        Pavarde746                       3    8    5    4    10   8    
Vardas747                        Pavarde747                       10   4    4    6    9    1    
Vardas748                        Pavarde748                       9    7    3    4    7    6    
Vardas749                        Pavarde749                       1    5    7    2    9    6    
Vardas750                        Pavarde750                       5    5    1    1    1    4    
Vardas751                        Pavarde751                       9    5    7    10   8    2    
Vardas752                        Pavarde752                       10   9    2    5    3    7    
Vardas753                        Pavarde753                       7    1    7    2    2    8    
Vardas754                        Pavarde754                       8    4    9    10   7    1    
Vardas755                        Pavarde755                       4    4    10   5    4    6    
Vardas756                        Pavarde756                       5    4    5    10   10   8    
Vardas757                        Pavarde757                       10   8    10   9    10   7    
Vardas758                        Pavarde758                       5    1    6    1    7    7    
Vardas759                        Pavarde759                       1    6    1    7    1    5    
Vardas760                        Pavarde760                       7    3    10   6    2    8    
Vardas761                        Pavarde761                       1    9    5    7    10   10   
Vardas762                        Pavarde762                       6    10   6    5    8    4    
Vardas763                        Pavarde763                       9    5    1    7    10   6    
Vardas764                        Pavarde764                       7    10   6    3    9    4    
Vardas765                        Pavarde765                       9    7    9    6    6    3    
Vardas766                        Pavarde766                       7    1    7    7    7    8    
Vardas767                        Pavarde767                       7    5    10   7    1    4    
Vardas768                        Pavarde768                       4    1    9    5    9    8    
Vardas769                        Pavarde769                       7    9    6    3    5    4    
Vardas770                        Pavarde770                       3    1    9    6    6    4    
Vardas771                        Pavarde771                       1    2    6    1    9    4    
Vardas772                        Pavarde772                       9    5    6    9    10   8    
Vardas773                        Pavarde773                       4    2    6    2    4    9    
Vardas774                        Pavarde774                       6    9    9    6    5    2    
Vardas775                        Pavarde775                       4    9    3    7    8    3    
Vardas776                        Pavarde776                       4    8    6    6    3    7    
Vardas777                        Pavarde777                       3    9    8    3    10   7    
Vardas778                        Pavarde778                       2    10   3    8    7    1    
Vardas779                        Pavarde779                       6    7    1    9    5    5    
Vardas780                        Pavarde780                       7    6    1    7    5    6    
Vardas781                        Pavarde781                       1    2    2    2    7    4    
Vardas782                        Pavarde782                       10   3    4    8    6    3    
Vardas783                        Pavarde783                       7    1    9    4    3    4    
Vardas784                        Pavarde784                       9    5    8    2    7    3    
Vardas785                        Pavarde785                       10   3    3    6    9    6    
Vardas786                        Pavarde786                       3    10   6    1    3    3    
Vardas787                        Pavarde787                       10   9    8    6    3    3    
Vardas788                        Pavarde788                       10   2    10   2    10   3    
Vardas789                        Pavarde789                       6    9    8    6    3    6    
Vardas790                        Pavarde790                       2    8    10   4    8    1    
Vardas791                        Pavarde791                       1    10   10   6    1    4    
Vardas792                        Pavarde792                       7    5    7    4    1    2    
Vardas793                        Pavarde793                       3    3    7    9    4    10   
Vardas794                        Pavarde794                       4    10   9    4    7    2    
Vardas795                        Pavarde795                       4    5    9    9    5    1    
Vardas796                        Pavarde796                       1    8    6    8    5    7    
Vardas797                        Pavarde797                       9    10   8    5    1    8    
Vardas798                        Pavarde798                       7    5    3    4    1    2    
Vardas799                        Pavarde799                       2    5    8    7    10   7    
Vardas800                        Pavarde800                       5    1    6    3    1    9    
Vardas801                        Pavarde801                       9    3    2    6    7    5    
Vardas802                        Pavarde802                       6    10   2    10   10   3    
Vardas803                        Pavarde803                       3    9    4    7    5    10   
Vardas804                        Pavarde804                       2    1    5    3    9    3    
Vardas805                        Pavarde805                       2    9    3    9    6    5    
Vardas806                        Pavarde806                       6    10   3    10   9    9    
Vardas807                        Pavarde807                       7    1    4    2    2    7    
Vardas808                        Pavarde808                       2    8    7    8    2    7    
Vardas809                        Pavarde809                       1    2    1    6    3    2    
Vardas810                        Pavarde810                       6    7    9    4    4    4    
Vardas811                        Pavarde811                       9    1    6    1    1    4    
Vardas812                        Pavarde812                       2    7    4    3    1    10   
Vardas813                        Pavarde813                       2    4    8    9    6    9    
Vardas814                        Pavarde814                       1    9    5    4    4    10   
Vardas815                        Pavarde815                       4    1    2    10   10   5    
Vardas816                        Pavarde816                       10   5    4    2    3    1    
Vardas817                        Pavarde817                       6    8    8    9    4    4    
Vardas818                        Pavarde818                       6    4    3    8    6    4    
Vardas819                        Pavarde819                       3    6    8    9    6    7    
Vardas820                        Pavarde820                       5    4    2    6    5    1    
Vardas821                        Pavarde821                       10   8    9    6    1    9    
Vardas822                        Pavarde822                       5    2    5    4    10   7    
Vardas823                        Pavarde823                       6    10   7    3    9    8    
Vardas824                        Pavarde824                       7    1    10   7    6    1    
Vardas825                        Pavarde825                       9    10   10   10   2    2    
Vardas826                        Pavarde826                       7    2    1    2    8    4    
Vardas827                        Pavarde827                       4    1    10   3    1    9    
Vardas828                        Pavarde828                       10   8    9    6    2    3    
Vardas829                        Pavarde829                       9    9    3    8    5    6    
Vardas830                        Pavarde830                       7    10   10   4    5    7    
Vardas831                        Pavarde831                       2    1    3    2    1    7    
Vardas832                        Pavarde832                       4    2    2    4    3    10   
Vardas833                        Pavarde833                       7    9    10   8    3    1    
Vardas834                        Pavarde834                       6    4    10   10   10   8    
Vardas835                        Pavarde835                       9    3    4    6    4    7    
Vardas836                        Pavarde836                       9    1    5    2    9    5    
Vardas837                        Pavarde837                       5    2    2    4    8    5    
Vardas838                        Pavarde838                       1    5    8    3    6    5    
Vardas839                        Pavarde839                       10   4    7    1    9    8    
Vardas840                        Pavarde840                       7    9    6    2    6    2    
Vardas841                        Pavarde841                       10   6    7    3    10   4    
Vardas842                        Pavarde842                       6    6    4    6    10   4    
Vardas843                        Pavarde843                       5    5    6    7    4    4    
Vardas844                        Pavarde844                       2    5    2    9    7    10   
Vardas845                        Pavarde845                       6    1    3    7    5    5    
Vardas846                        Pavarde846                       10   1    3    3    5    2    
Vardas847                        Pavarde847                       7    5    10   1    4    3    
Vardas848                        Pavarde848                       2    5    2    7    1    9    
Vardas849                        Pavarde849                       3    5    6    6    9    5    
Vardas850                        Pavarde850                       5    10   10   3    6    6    
Vardas851                        Pavarde851                       9    4    9    4    2    2    
Vardas852                        Pavarde852                       3    9    9    4    8    4    
Vardas853                        Pavarde853                       4    7    5    6    4    9    
Vardas854                        Pavarde854                       10   1    4    1    10   1    
Vardas855                        Pavarde855                       3    7    6    7    7    4    
Vardas856                        Pavarde856                       5    2    3    8    2    6    
Vardas857                        Pavarde857                       4    5    7    3    5    8    
Vardas858                        Pavarde858                       7    6    3    6    2    2    
Vardas859                        Pavarde859                       7    6    6    9    10   2    
Vardas860                        Pavarde860                       4    1    4    10   10   8    
Vardas861                        Pavarde861                       5    3    5    9    4    8    
Vardas862                        Pavarde862                       8    10   9    5    3    3    
Vardas863                        Pavarde863                       4    4    6    2    1    10   
Vardas864                        Pavarde864                       6    6    3    1    9    5    
Vardas865                        Pavarde865                       9    3    5    9    8    5    
Vardas866                        Pavarde866                       6    2    1    6    6    7    
Vardas867                        Pavarde867                       6    1    5    8    4    9    
Vardas868                        Pavarde868                       4    2    7    2    4    5    
Vardas869                        Pavarde869                       7    8    8    2    5    4    
Vardas870                        Pavarde870                       7    6    3    5    5    3    
Vardas871                        Pavarde871                       3    3    8    10   7    5    
Vardas872                        Pavarde872                       10   2    3    7    1    3    
Vardas873                        Pavarde873                       3    3    2    1    8    2    
Vardas874                        Pavarde874                       10   7    10   2    2    1    
Vardas875                        Pavarde875                       3    2    10   3    4    9    
Vardas876                        Pavarde876                       10   5    5    9    7    10   
Vardas877                        Pavarde877                       6    10   3    7    10   6    
Vardas878                        Pavarde878                       3    1    1    2    3    7    
Vardas879                        Pavarde879                       1    8    2    4    10   1    
Vardas880                        Pavarde880                       4    2    4    6    10   1    
Vardas881                        Pavarde881                       1    3    4    8    9    6    
Vardas882                        Pavarde882                       7    7    3    4    2    2    
Vardas883                        Pavarde883                       1    5    4    8    10   5    
Vardas884                        Pavarde884                       9    1    6    1    3    9    
Vardas885                        Pavarde885                       9    4    1    5    4    10   
Vardas886                        Pavarde886                       10   8    1    3    6    3    
Vardas887                        Pavarde887                       8    9    5    2    6    10   
Vardas888                        Pavarde888                       9    2    10   2    10   4    
Vardas889                        Pavarde889                       10   9    7    2    9    2    
Vardas890                        Pavarde890                       1    6    4    1    5    8    
Vardas891                        Pavarde891                       3    4    3    9    10   9    
Vardas892                        Pavarde892                       4    9    5    4    10   8    
Vardas893                        Pavarde893                       8    6    4    4    4    6    
Vardas894                        Pavarde894                       10   10   10   1    3    6    
Vardas895                        Pavarde895                       8    6    6    7    5    9    
Vardas896                        Pavarde896                       6    9    9    8    7    10   
Vardas897                        Pavarde897                       5    10   9    8    8    2    
Vardas898                        Pavarde898                       2    6    5    4    6    2    
Vardas899                        Pavarde899                       1    3    3    5    10   8    
Vardas900                        Pavarde900                       1    6    6    6    4    5    
Vardas901                        Pavarde901                       2    2    3    2    8    6    
Vardas902                        Pavarde902                       3    8    6    1    6    9    
Vardas903                        Pavarde903                       6    3    5    8    10   6    
Vardas904                        Pavarde904                       5    3    2    6    6    9    
Vardas905                        Pavarde905                       2    8    8    5    6    9    
Vardas906                        Pavarde906                       1    8    5    4    5    4    
Vardas907                        Pavarde907                       6    4    9    4    8    7    
Vardas908                        Pavarde908                       6    9    10   10   6    5    
Vardas909                        Pavarde909                       6    6    10   5    1    4    
Vardas910                        Pavarde910                       10   10   7    5    7    2    
Vardas911                        Pavarde911                       7    8    1    9    3    1    
Vardas912                        Pavarde912                       2    8    10   6    1    10   
Vardas913                        Pavarde913                       3    8    6    4    1    8    
Vardas914                        Pavarde914                       8    6    10   10   7    4    
Vardas915                        Pavarde915                       7    7    2    4    7    7    
Vardas916                        Pavarde916                       10   4    5    10   7    1    
Vardas917                        Pavarde917                       7    9    2    9    1    4    
Vardas918                        Pavarde918                       9    1    4    6    5    1    
Vardas919                        Pavarde919                       4    10   3    7    5    6    
Vardas920                        Pavarde920                       9    7    1    10   9    7    
Vardas921                        Pavarde921                       6    4    8    3    4    10   
Vardas922                        Pavarde922                       9    1    10   8    8    2    
Vardas923                        Pavarde923                       1    3    4    3    7    9    
Vardas924                        Pavarde924                       6    5    7    1    4    4    
Vardas925                        Pavarde925                       9    1    5    6    1    9    
Vardas926                        Pavarde926                       7    1    9    1    6    5    
Vardas927                        Pavarde927                       1    10   9    5    8    7    
Vardas928                        Pavarde928                       10   9    9    8    8    3    
Vardas929                        Pavarde929                       7    4    9    4    4    8    
Vardas930                        Pavarde930                       1    1    1    1    3    9    
Vardas931                        Pavarde931                       7    10   3    3    5    9    
Vardas932                        Pavarde932                       8    8    7    2    3    2    
Vardas933                        Pavarde933                       1    4    10   7    3    3    
Vardas934                        Pavarde934                       2    1    1    3    6    8    
Vardas935                        Pavarde935                       9    1    4    7    7    5    
Vardas936                        Pavarde936                       3    1    8    2    9    2    
Vardas937                        Pavarde937                       6    7    1    8    1    6    
Vardas938                        Pavarde938                       3    1    8    4    4    5    
Vardas939                        Pavarde939                       8    10   4    2    9    3    
Vardas940                        Pavarde940                       2    8    5    2    8    10   
Vardas941                        Pavarde941                       10   6    7    3    10   5    
Vardas942                        Pavarde942                       2    3    2    6    6    9    
Vardas943                        Pavarde943                       9    3    1    1    10   5    
Vardas944                        Pavarde944                       7    8    7    4    9    5    
Vardas945                        Pavarde945                       1    4    3    5    1    7    
Vardas946                        Pavarde946                       5    3    7    4    7    6    
Vardas947                        Pavarde947                       5    5    2    6    5    3    
Vardas948                        Pavarde948                       1    9    3    4    7    1    
Vardas949                        Pavarde949                       5    7    2    10   10   7    
Vardas950                        Pavarde950                       10   5    7    7    2    6    
Vardas951                        Pavarde951                       5    8    1    2    4    8    
Vardas952                        Pavarde952                       5    3    7    9    8    2    
Vardas953                        Pavarde953                       4    8    10   9    7    8    
Vardas954                        Pavarde954                       10   6    6    9    1    5    
Vardas955                        Pavarde955                       4    7    8    2    8    5    
Vardas956                        Pavarde956                       6    3    3    8    8    6    
Vardas957                        Pavarde957                       1    5    3    1    2    5    
Vardas958                        Pavarde958                       4    5    4    6    6    10   
Vardas959                        Pavarde959                       2    5    2    8    5    10   
Vardas960                        Pavarde960                       6    4    4    5    5    6    
Vardas961                        Pavarde961                       9    1    6    4    9    9    
Vardas962                        Pavarde962                       4    5    8    2    3    9    
Vardas963                        Pavarde963                       1    5    7    6    3    6    
Vardas964                        Pavarde964                       6    8    2    8    1    4    
Vardas965                        Pavarde965                       1    5    3    2    5    2    
Vardas966                        Pavarde966                       7    8    1    4    6    9    
Vardas967                        Pavarde967                       3    8    9    3    10   3    
Vardas968                        Pavarde968                       7    1    2    4    3    8    
Vardas969                        Pavarde969                       2    2    10   2    9    3    
Vardas970                        Pavarde970                       9    7    7    1    3    1    
Vardas971                        Pavarde971                       4    6    3    1    4    10   
Vardas972                        Pavarde972                       10   2    5    3    2    5    
Vardas973                        Pavarde973                       7    2    2    2    9    5    
Vardas974                        Pavarde974                       5    7    10   8    8    1    
Vardas975                        Pavarde975                       5    3    4    4    10   10   
Vardas976                        Pavarde976                       8    6    7    10   8    3    
Vardas977                        Pavarde977                       7    4    2    7    5    9    
Vardas978                        Pavarde978                       8    10   1    8    2    4    
Vardas979                        Pavarde979                       9    3    8    5    5    9    
Vardas980                        Pavarde980                       7    3    10   3    7    7    
Vardas981                        Pavarde981                       7    5    8    9    1    6    
Vardas982                        Pavarde982                       8    10   9    5    9    7    
Vardas983                        Pavarde983                       9    3    3    3    8    3    
Vardas984                        Pavarde984                       3    8    5    9    6    6    
Vardas985                        Pavarde985                       5    9    9    6    1    1    
Vardas986                        Pavarde986                       3    3    6    3    6    10   
Vardas987                        Pavarde987                       9    3    1    2    2    2    
Vardas988                        Pavarde988                       9    4    2    9    10   8    
Vardas989                        Pavarde989                       10   4    1    1    2    5    
Vardas990                        Pavarde990                       5    1    4    1    3    2    
Vardas991                        Pavarde991                       1    7    10   9    10   10   
Vardas992                        Pavarde992                       7    2    10   2    7    5    
Vardas993                        Pavarde993                       1    4    4    5    1    9    
Vardas994                        Pavarde994                       7    6    8    6    4    10   
Vardas995                        Pavarde995                       3    9    10   3    7    3    
