Vardas                           Pavarde                         1nd  2nd  3nd  4nd  5nd egz.
Vardas2017                       Pavarde2017                      10   9    5    4    7    2    
Vardas2018                       Pavarde2018                      6    5    1    4    8    4    
Vardas2019                       Pavarde2019                      3    9    9    3    6    5    
Vardas2020                       Pavarde2020                      6    9    3    8    2    4    
Vardas2021                       Pavarde2021                      10   6    4    3    6    10   
Vardas2022                       Pavarde2022                      9    7    10   7    9    8    
Vardas2023                       Pavarde2023                      3    9    6    1    9    4    
Vardas2024                       Pavarde2024                      9    2    4    8    3    4    
Vardas2025                       Pavarde2025                      10   6    5    10   9    2    
Vardas2026                       Pavarde2026                      1    1    6    2    9    7    
Vardas2027                       Pavarde2027                      4    4    4    7    10   3    
Vardas2028                       Pavarde2028                      8    1    9    2    2    4    
Vardas2029                       Pavarde2029                      2    2    1    8    2    5    
Vardas2030                       Pavarde2030                      8    4    1    10   6    1    
Vardas2031                       Pavarde2031                      8    1    1    6    3    7    
Vardas2032                       Pavarde2032                      10   5    1    1    4    4    
Vardas2033                       Pavarde2033                      7    5    9    1    10   7    
Vardas2034                       Pavarde2034                      7    1    9    6    2    2    
Vardas2035                       Pavarde2035                      8    6    2    3    10   9    
Vardas2036                       Pavarde2036                      8    7    1    5    10   2    
Vardas2037                       Pavarde2037                      7    8    2    5    5    7    
Vardas2038                       Pavarde2038                      10   3    8    9    2    3    
Vardas2039                       Pavarde2039                      5    5    5    8    9    6    
Vardas2040                       Pavarde2040                      9    6    1    6    8    4    
Vardas2041                       Pavarde2041                      5    2    1    9    10   1    
Vardas2042                       Pavarde2042                      8    1    10   2    5    6    
Vardas2043                       Pavarde2043                      6    7    7    8    7    7    
Vardas2044                       Pavarde2044                      5    5    9    10   7    10   
Vardas2045                       Pavarde2045                      5    10   7    3    9    9    
Vardas2046                       Pavarde2046                      1    8    1    10   1    1    
Vardas2047                       Pavarde2047                      8    3    3    8    5    7    
Vardas2048                       Pavarde2048                      7    8    3    9    9    3    
Vardas2049                       Pavarde2049                      6    9    2    2    2    8    
Vardas2050                       Pavarde2050                      1    4    4    7    10   2    
Vardas2051                       Pavarde2051                      10   3    4    7    10   1    
Vardas2052                       Pavarde2052                      8    8    3    8    3    6    
Vardas2053                       Pavarde2053                      2    5    1    9    7    9    
Vardas2054                       Pavarde2054                      1    5    3    3    2    10   
Vardas2055                       Pavarde2055                      10   5    9    1    6    4    
Vardas2056                       Pavarde2056                      3    8    8    8    7    7    
Vardas2057                       Pavarde2057                      6    8    7    9    4    10   
Vardas2058                       Pavarde2058                      10   1    9    2    4    6    
Vardas2059                       Pavarde2059                      3    5    7    3    6    5    
Vardas2060                       Pavarde2060                      10   4    2    5    4    10   
Vardas2061                       Pavarde2061                      8    4    3    2    2    10   
Vardas2062                       Pavarde2062                      2    7    3    3    10   10   
Vardas2063                       Pavarde2063                      4    3    7    8    5    3    
Vardas2064                       Pavarde2064                      5    3    2    5    2    3    
Vardas2065                       Pavarde2065                      8    10   7    1    2    2    
Vardas2066                       Pavarde2066                      9    3    8    10   10   5    
Vardas2067                       Pavarde2067                      2    8    7    2    2    6    
Vardas2068                       Pavarde2068                      3    10   9    8    9    5    
Vardas2069                       Pavarde2069                      3    3    6    6    6    10   
Vardas2070                       Pavarde2070                      3    1    3    2    4    3    
Vardas2071                       Pavarde2071                      7    1    6    2    9    1    
Vardas2072                       Pavarde2072                      8    2    6    5    1    1    
Vardas2073                       Pavarde2073                      9    2    10   3    2    9    
Vardas2074                       Pavarde2074                      2    9    1    8    1    3    
Vardas2075                       Pavarde2075                      10   1    8    8    5    3    
Vardas2076                       Pavarde2076                      2    1    9    4    9    7    
Vardas2077                       Pavarde2077                      10   3    1    7    6    4    
Vardas2078                       Pavarde2078                      10   10   6    3    3    7    
Vardas2079                       Pavarde2079                      1    4    6    1    9    8    
Vardas2080                       Pavarde2080                      3    6    3    10   1    4    
Vardas2081                       Pavarde2081                      3    8    2    9    5    10   
Vardas2082                       Pavarde2082                      6    2    2    9    8    9    
Vardas2083                       Pavarde2083                      9    8    4    4    10   3    
Vardas2084                       Pavarde2084                      3    10   7    9    7    2    
Vardas2085                       Pavarde2085                      9    1    2    8    6    3    
Vardas2086                       Pavarde2086                      7    3    1    1    7    3    
Vardas2087                       Pavarde2087                      4    3    7    8    7    6    
Vardas2088                       Pavarde2088                      3    1    9    4    2    1    
Vardas2089                       Pavarde2089                      5    1    2    8    3    7    
Vardas2090                       Pavarde2090                      5    9    5    9    9    5    
Vardas2091                       Pavarde2091                      3    10   3    5    3    8    
Vardas2092                       Pavarde2092                      6    10   2    5    5    7    
Vardas2093                       Pavarde2093                      6    9    3    7    7    3    
Vardas2094                       Pavarde2094                      4    6    3    8    2    3    
Vardas2095                       Pavarde2095                      7    1    5    10   4    2    
Vardas2096                       Pavarde2096                      9    7    4    6    1    8    
Vardas2097                       Pavarde2097                      7    8    4    7    2    10   
Vardas2098                       Pavarde2098                      10   3    10   3    10   4    
Vardas2099                       Pavarde2099                      2    1    2    8    4    8    
Vardas2100                       Pavarde2100                      2    3    8    10   5    6    
Vardas2101                       Pavarde2101                      6    2    3    4    6    9    
Vardas2102                       Pavarde2102                      9    2    1    3    6    6    
Vardas2103                       Pavarde2103                      2    3    2    1    4    8    
Vardas2104                       Pavarde2104                      4    8    7    6    1    2    
Vardas2105                       Pavarde2105                      1    1    6    9    5    10   
Vardas2106                       Pavarde2106                      5    9    1    5    10   7    
Vardas2107                       Pavarde2107                      5    7    1    6    6    10   
Vardas2108                       Pavarde2108                      5    2    2    1    6    1    
Vardas2109                       Pavarde2109                      9    1    6    6    7    3    
Vardas2110                       Pavarde2110                      2    10   2    9    3    4    
Vardas2111                       Pavarde2111                      4    7    3    9    9    4    
Vardas2112                       Pavarde2112                      5    4    5    5    2    8    
Vardas2113                       Pavarde2113                      9    6    6    6    3    4    
Vardas2114                       Pavarde2114                      10   6    3    1    7    1    
Vardas2115                       Pavarde2115                      5    3    8    6    9    2    
Vardas2116                       Pavarde2116                      10   6    6    2    2    9    
Vardas2117                       Pavarde2117                      3    1    8    9    10   2    
Vardas2118                       Pavarde2118                      7    2    5    10   7    6    
Vardas2119                       Pavarde2119                      2    7    3    10   4    4    
Vardas2120                       Pavarde2120                      2    3    6    8    7    2    
Vardas2121                       Pavarde2121                      7    5    7    5    3    6    
Vardas2122                       Pavarde2122                      9    7    5    10   6    6    
Vardas2123                       Pavarde2123                      5    5    5    2    2    8    
Vardas2124                       Pavarde2124                      9    4    9    7    10   4    
Vardas2125                       Pavarde2125                      6    8    6    8    10   4    
Vardas2126                       Pavarde2126                      3    5    9    6    10   9    
Vardas2127                       Pavarde2127                      3    2    4    8    2    10   
Vardas2128                       Pavarde2128                      10   10   2    6    6    5    
Vardas2129                       Pavarde2129                      10   4    10   7    8    9    
Vardas2130                       Pavarde2130                      2    8    1    4    6    1    
Vardas2131                       Pavarde2131                      5    3    9    1    1    6    
Vardas2132                       Pavarde2132                      10   4    2    3    9    1    
Vardas2133                       Pavarde2133                      4    2    5    5    3    9    
Vardas2134                       Pavarde2134                      1    6    2    5    2    6    
Vardas2135                       Pavarde2135                      1    1    6    4    6    7    
Vardas2136                       Pavarde2136                      7    5    3    1    4    10   
Vardas2137                       Pavarde2137                      10   2    5    4    6    4    
Vardas2138                       Pavarde2138                      6    2    4    6    1    1    
Vardas2139                       Pavarde2139                      3    3    2    4    6    2    
Vardas2140                       Pavarde2140                      3    7    8    9    7    10   
Vardas2141                       Pavarde2141                      1    10   6    7    7    4    
Vardas2142                       Pavarde2142                      6    3    8    1    8    6    
Vardas2143                       Pavarde2143                      1    7    6    10   4    6    
Vardas2144                       Pavarde2144                      3    10   10   4    2    9    
Vardas2145                       Pavarde2145                      2    1    8    4    4    10   
Vardas2146                       Pavarde2146                      1    3    10   9    10   2    
Vardas2147                       Pavarde2147                      8    6    1    8    5    2    
Vardas2148                       Pavarde2148                      2    9    5    9    4    1    
Vardas2149                       Pavarde2149                      5    2    4    2    9    4    
Vardas2150                       Pavarde2150                      5    1    2    6    10   10   
Vardas2151                       Pavarde2151                      3    4    2    7    1    5    
Vardas2152                       Pavarde2152                      6    2    4    2    2    8    
Vardas2153                       Pavarde2153                      2    4    5    6    7    10   
Vardas2154                       Pavarde2154                      9    3    6    7    8    1    
Vardas2155                       Pavarde2155                      7    3    6    6    1    5    
Vardas2156                       Pavarde2156                      10   9    7    2    7    10   
Vardas2157                       Pavarde2157                      7    10   6    7    4    3    
Vardas2158                       Pavarde2158                      3    1    6    1    6    7    
Vardas2159                       Pavarde2159                      3    8    7    6    2    8    
Vardas2160                       Pavarde2160                      1    6    10   9    6    10   
Vardas2161                       Pavarde2161                      1    3    7    4    9    6    
Vardas2162                       Pavarde2162                      4    2    4    10   3    2    
Vardas2163                       Pavarde2163                      3    8    7    10   3    8    
Vardas2164                       Pavarde2164                      8    1    5    8    6    8    
Vardas2165                       Pavarde2165                      4    6    4    6    10   7    
Vardas2166                       Pavarde2166                      9    5    1    2    10   5    
Vardas2167                       Pavarde2167                      10   9    9    6    9    2    
Vardas2168                       Pavarde2168                      4    4    5    4    1    9    
Vardas2169                       Pavarde2169                      2    5    6    2    10   3    
Vardas2170                       Pavarde2170                      6    6    6    10   9    9    
Vardas2171                       Pavarde2171                      3    7    1    1    6    8    
Vardas2172                       Pavarde2172                      6    4    3    4    5    8    
Vardas2173                       Pavarde2173                      7    5    9    8    8    10   
Vardas2174                       Pavarde2174                      3    3    1    4    9    8    
Vardas2175                       Pavarde2175                      2    9    1    6    2    3    
Vardas2176                       Pavarde2176                      10   6    6    3    10   4    
Vardas2177                       Pavarde2177                      1    1    8    2    4    8    
Vardas2178                       Pavarde2178                      5    8    10   9    9    3    
Vardas2179                       Pavarde2179                      4    8    6    8    3    2    
Vardas2180                       Pavarde2180                      3    8    3    3    10   4    
Vardas2181                       Pavarde2181                      4    3    6    3    1    1    
Vardas2182                       Pavarde2182                      7    6    5    5    1    3    
Vardas2183                       Pavarde2183                      2    8    3    6    6    5    
Vardas2184                       Pavarde2184                      8    2    5    3    2    7    
Vardas2185                       Pavarde2185                      2    5    7    6    2    1    
Vardas2186                       Pavarde2186                      2    7    8    9    2    10   
Vardas2187                       Pavarde2187                      5    7    10   6    5    2    
Vardas2188                       Pavarde2188                      7    9    2    5    7    5    
Vardas2189                       Pavarde2189                      2    8    4    2    1    1    
Vardas2190                       Pavarde2190                      7    6    2    3    2    7    
Vardas2191                       Pavarde2191                      9    5    5    10   10   7    
Vardas2192                       Pavarde2192                      6    1    2    5    6    6    
Vardas2193                       Pavarde2193                      6    1    10   8    2    9    
Vardas2194                       Pavarde2194                      5    3    1    6    7    10   
Vardas2195                       Pavarde2195                      1    10   7    4    8    3    
Vardas2196                       Pavarde2196                      9    10   5    1    2    8    
Vardas2197                       Pavarde2197                      9    5    2    7    7    4    
Vardas2198                       Pavarde2198                      1    1    7    10   10   3    
Vardas2199                       Pavarde2199                      4    3    3    2    6    3    
Vardas2200                       Pavarde2200                      7    4    3    8    6    9    
Vardas2201                       Pavarde2201                      7    9    1    2    7    8    
Vardas2202                       Pavarde2202                      10   10   9    10   5    2    
Vardas2203                       Pavarde2203                      6    4    6    8    1    3    
Vardas2204                       Pavarde2204                      2    10   2    1    5    1    
Vardas2205                       Pavarde2205                      9    9    10   7    2    10   
Vardas2206                       Pavarde2206                      8    4    10   2    3    6    
Vardas2207                       Pavarde2207                      4    5    5    4    2    1    
Vardas2208                       Pavarde2208                      2    2    9    5    10   4    
Vardas2209                       Pavarde2209                      9    6    7    8    10   4    
Vardas2210                       Pavarde2210                      4    4    8    9    7    2    
Vardas2211                       Pavarde2211                      4    4    8    5    2    5    
Vardas2212                       Pavarde2212                      5    6    5    5    6    1    
Vardas2213                       Pavarde2213                      5    3    10   6    10   2    
Vardas2214                       Pavarde2214                      7    7    6    7    7    9    
Vardas2215                       Pavarde2215                      7    4    1    6    7    2    
Vardas2216                       Pavarde2216                      5    4    8    3    6    5    
Vardas2217                       Pavarde2217                      7    2    1    5    3    6    
Vardas2218                       Pavarde2218                      1    9    9    1    9    9    
Vardas2219                       Pavarde2219                      1    10   9    8    5    3    
Vardas2220                       Pavarde2220                      6    1    10   7    9    1    
Vardas2221                       Pavarde2221                      6    1    6    8    6    3    
Vardas2222                       Pavarde2222                      10   9    6    10   5    1    
Vardas2223                       Pavarde2223                      5    9    7    5    8    2    
Vardas2224                       Pavarde2224                      3    9    9    3    4    6    
Vardas2225                       Pavarde2225                      8    3    6    4    8    1    
Vardas2226                       Pavarde2226                      7    4    9    8    6    9    
Vardas2227                       Pavarde2227                      9    4    2    5    5    9    
Vardas2228                       Pavarde2228                      8    2    5    6    8    7    
Vardas2229                       Pavarde2229                      7    2    5    3    5    6    
Vardas2230                       Pavarde2230                      10   7    9    6    9    9    
Vardas2231                       Pavarde2231                      5    4    3    8    5    8    
Vardas2232                       Pavarde2232                      4    3    3    6    7    6    
Vardas2233                       Pavarde2233                      4    9    1    1    3    8    
Vardas2234                       Pavarde2234                      1    10   5    5    5    7    
Vardas2235                       Pavarde2235                      1    6    10   2    9    9    
Vardas2236                       Pavarde2236                      4    10   5    7    8    5    
Vardas2237                       Pavarde2237                      5    6    3    5    4    4    
Vardas2238                       Pavarde2238                      1    5    3    8    7    4    
Vardas2239                       Pavarde2239                      2    7    8    6    3    5    
Vardas2240                       Pavarde2240                      5    5    7    8    1    6    
Vardas2241                       Pavarde2241                      6    2    10   1    5    7    
Vardas2242                       Pavarde2242                      5    2    7    1    8    5    
Vardas2243                       Pavarde2243                      4    2    6    8    3    2    
Vardas2244                       Pavarde2244                      3    10   7    7    1    2    
Vardas2245                       Pavarde2245                      6    1    2    10   2    7    
Vardas2246                       Pavarde2246                      4    9    6    2    5    4    
Vardas2247                       Pavarde2247                      6    8    5    3    9    5    
Vardas2248                       Pavarde2248                      1    2    9    1    1    2    
Vardas2249                       Pavarde2249                      7    4    4    9    6    4    
Vardas2250                       Pavarde2250                      10   6    8    6    2    7    
Vardas2251                       Pavarde2251                      2    6    1    4    8    1    
Vardas2252                       Pavarde2252                      7    3    7    1    3    4    
Vardas2253                       Pavarde2253                      4    5    9    6    7    9    
Vardas2254                       Pavarde2254                      4    9    4    4    8    9    
Vardas2255                       Pavarde2255                      2    6    9    10   6    4    
Vardas2256                       Pavarde2256                      10   8    3    10   6    1    
Vardas2257                       Pavarde2257                      6    6    7    7    4    8    
Vardas2258                       Pavarde2258                      6    9    8    10   5    9    
Vardas2259                       Pavarde2259                      4    10   8    5    1    9    
Vardas2260                       Pavarde2260                      4    3    10   4    10   4    
Vardas2261                       Pavarde2261                      4    1    8    1    10   6    
Vardas2262                       Pavarde2262                      5    3    9    3    8    10   
Vardas2263                       Pavarde2263                      2    1    6    4    1    3    
Vardas2264                       Pavarde2264                      5    1    5    6    8    9    
Vardas2265                       Pavarde2265                      6    10   3    9    10   3    
Vardas2266                       Pavarde2266                      4    10   1    10   10   2    
Vardas2267                       Pavarde2267                      6    2    9    2    3    9    
Vardas2268                       Pavarde2268                      6    9    10   5    8    6    
Vardas2269                       Pavarde2269                      1    2    6    7    6    2    
Vardas2270                       Pavarde2270                      4    5    7    8    9    5    
Vardas2271                       Pavarde2271                      10   2    4    1    1    4    
Vardas2272                       Pavarde2272                      7    1    8    9    5    5    
Vardas2273                       Pavarde2273                      9    4    1    7    4    5    
Vardas2274                       Pavarde2274                      9    7    6    10   9    10   
Vardas2275                       Pavarde2275                      10   7    9    8    2    4    
Vardas2276                       Pavarde2276                      8    10   4    4    6    9    
Vardas2277                       Pavarde2277                      6    2    8    1    6    3    
Vardas2278                       Pavarde2278                      5    2    3    9    1    7    
Vardas2279                       Pavarde2279                      7    8    3    4    3    3    
Vardas2280                       Pavarde2280                      9    3    3    9    7    2    
Vardas2281                       Pavarde2281                      3    6    1    7    7    5    
Vardas2282                       Pavarde2282                      10   7    7    6    2    3    
Vardas2283                       Pavarde2283                      4    10   5    6    7    10   
Vardas2284                       Pavarde2284                      9    8    10   9    1    8    
Vardas2285                       Pavarde2285                      1    4    10   10   4    9    
Vardas2286                       Pavarde2286                      5    7    3    5    3    9    
Vardas2287                       Pavarde2287                      7    5    6    1    7    3    
Vardas2288                       Pavarde2288                      6    9    3    8    3    5    
Vardas2289                       Pavarde2289                      4    6    6    4    6    7    
Vardas2290                       Pavarde2290                      5    5    2    7    6    2    
Vardas2291                       Pavarde2291                      5    6    3    8    2    10   
Vardas2292                       Pavarde2292                      7    3    4    5    1    10   
Vardas2293                       Pavarde2293                      10   8    1    7    6    6    
Vardas2294                       Pavarde2294                      1    1    4    7    5    1    
Vardas2295                       Pavarde2295                      2    9    8    8    6    7    
Vardas2296                       Pavarde2296                      4    10   10   5    5    7    
Vardas2297                       Pavarde2297                      5    10   9    2    7    7    
Vardas2298                       Pavarde2298                      5    10   3    1    4    6    
Vardas2299                       Pavarde2299                      8    5    4    8    4    10   
Vardas2300                       Pavarde2300                      4    7    3    1    1    1    
Vardas2301                       Pavarde2301                      10   5    8    6    6    1    
Vardas2302                       Pavarde2302                      7    2    3    5    8    1    
Vardas2303                       Pavarde2303                      9    6    3    2    1    6    
Vardas2304                       Pavarde2304                      1    1    2    2    8    1    
Vardas2305                       Pavarde2305                      2    1    7    9    8    6    
Vardas2306                       Pavarde2306                      4    1    8    9    6    9    
Vardas2307                       Pavarde2307                      4    7    10   9    8    3    
Vardas2308                       Pavarde2308                      1    3    4    2    3    7    
Vardas2309                       Pavarde2309                      1    5    8    6    9    2    
Vardas2310                       Pavarde2310                      4    8    9    8    1    9    
Vardas2311                       Pavarde2311                      6    1    2    3    10   10   
Vardas2312                       Pavarde2312                      3    8    2    7    1    1    
Vardas2313                       Pavarde2313                      2    7    10   8    10   6    
Vardas2314                       Pavarde2314                      6    7    1    10   9    6    
Vardas2315                       Pavarde2315                      3    2    8    3    1    4    
Vardas2316                       Pavarde2316                      9    4    3    10   5    9    
Vardas2317                       Pavarde2317                      8    2    2    4    4    4    
Vardas2318                       Pavarde2318                      5    7    5    8    9    9    
Vardas2319                       Pavarde2319                      6    5    5    10   10   7    
Vardas2320                       Pavarde2320                      4    7    6    3    10   5    
Vardas2321                       Pavarde2321                      9    3    4    9    10   1    
Vardas2322                       Pavarde2322                      9    7    6    4    8    1    
Vardas2323                       Pavarde2323                      7    9    7    8    1    10   
Vardas2324                       Pavarde2324                      10   4    1    8    3    2    
Vardas2325                       Pavarde2325                      2    6    6    2    9    1    
Vardas2326                       Pavarde2326                      10   3    8    3    3    8    
Vardas2327                       Pavarde2327                      7    6    10   8    3    2    
Vardas2328                       Pavarde2328                      7    9    10   7    6    7    
Vardas2329                       Pavarde2329                      4    1    2    6    2    4    
Vardas2330                       Pavarde2330                      9    8    1    7    9    3    
Vardas2331                       Pavarde2331                      6    10   10   9    2    5    
Vardas2332                       Pavarde2332                      3    1    8    2    10   8    
Vardas2333                       Pavarde2333                      6    2    7    7    5    5    
Vardas2334                       Pavarde2334                      9    5    7    3    5    7    
Vardas2335                       Pavarde2335                      5    2    5    6    3    8    
Vardas2336                       Pavarde2336                      5    6    7    2    6    7    
Vardas2337                       Pavarde2337                      10   8    5    3    10   4    
Vardas2338                       Pavarde2338                      8    3    7    2    10   8    
Vardas2339                       Pavarde2339                      2    5    10   7    5    5    
Vardas2340                       Pavarde2340                      4    7    4    3    10   8    
Vardas2341                       Pavarde2341                      2    6    10   1    3    8    
Vardas2342                       Pavarde2342                      5    5    9    6    5    1    
Vardas2343                       Pavarde2343                      3    1    1    7    6    3    
Vardas2344                       Pavarde2344                      9    3    8    1    5    1    
Vardas2345                       Pavarde2345                      1    4    1    5    5    9    
Vardas2346                       Pavarde2346                      10   8    5    8    6    7    
Vardas2347                       Pavarde2347                      10   4    9    7    9    1    
Vardas2348                       Pavarde2348                      6    9    3    2    1    6    
Vardas2349                       Pavarde2349                      10   2    7    3    9    7    
Vardas2350                       Pavarde2350                      10   9    1    10   2    4    
Vardas2351                       Pavarde2351                      2    1    2    9    8    5    
Vardas2352                       Pavarde2352                      4    6    6    4    10   9    
Vardas2353                       Pavarde2353                      1    2    3    8    1    3    
Vardas2354                       Pavarde2354                      4    2    3    6    9    6    
Vardas2355                       Pavarde2355                      5    4    7    4    3    5    
Vardas2356                       Pavarde2356                      10   1    1    8    5    2    
Vardas2357                       Pavarde2357                      8    7    9    3    6    5    
Vardas2358                       Pavarde2358                      10   2    2    5    3    1    
Vardas2359                       Pavarde2359                      10   3    10   3    5    8    
Vardas2360                       Pavarde2360                      2    2    7    9    6    2    
Vardas2361                       Pavarde2361                      2    10   1    5    2    9    
Vardas2362                       Pavarde2362                      10   3    8    1    10   8    
Vardas2363                       Pavarde2363                      4    8    4    7    5    7    
Vardas2364                       Pavarde2364                      8    8    6    10   8    9    
Vardas2365                       Pavarde2365                      5    6    10   10   1    1    
Vardas2366                       Pavarde2366                      8    9    9    1    1    4    
Vardas2367                       Pavarde2367                      1    1    3    1    4    7    
Vardas2368                       Pavarde2368                      2    7    4    5    9    8    
Vardas2369                       Pavarde2369                      9    1    9    7    5    2    
Vardas2370                       Pavarde2370                      4    4    6    1    1    2    
Vardas2371                       Pavarde2371                      8    6    7    10   5    5    
Vardas2372                       Pavarde2372                      6    3    6    5    6    5    
Vardas2373                       Pavarde2373                      7    2    3    2    1    7    
Vardas2374                       Pavarde2374                      8    5    6    2    5    10   
Vardas2375                       Pavarde2375                      8    5    6    2    8    5    
Vardas2376                       Pavarde2376                      9    5    1    3    2    4    
Vardas2377                       Pavarde2377                      9    2    9    6    9    9    
Vardas2378                       Pavarde2378                      1    5    1    6    7    10   
Vardas2379                       Pavarde2379                      8    9    6    4    7    4    
Vardas2380                       Pavarde2380                      2    10   3    1    8    6    
Vardas2381                       Pavarde2381                      9    9    4    3    7    10   
Vardas2382                       Pavarde2382                      3    10   3    2    2    7    
Vardas2383                       Pavarde2383                      8    4    2    2    8    3    
Vardas2384                       Pavarde2384                      1    7    8    1    2    8    
Vardas2385                       Pavarde2385                      2    3    6    6    7    8    
Vardas2386                       Pavarde2386                      3    4    7    6    1    10   
Vardas2387                       Pavarde2387                      1    4    9    9    6    6    
Vardas2388                       Pavarde2388                      8    1    10   3    4    10   
Vardas2389                       Pavarde2389                      3    2    8    2    7    9    
Vardas2390                       Pavarde2390                      1    6    7    1    3    8    
Vardas2391                       Pavarde2391                      10   9    2    1    3    4    
Vardas2392                       Pavarde2392                      6    3    3    3    8    8    
Vardas2393                       Pavarde2393                      5    10   8    3    9    1    
Vardas2394                       Pavarde2394                      6    7    1    1    1    10   
Vardas2395                       Pavarde2395                      4    1    10   9    10   2    
Vardas2396                       Pavarde2396                      1    5    8    1    10   8    
Vardas2397                       Pavarde2397                      10   6    1    1    8    1    
Vardas2398                       Pavarde2398                      7    5    7    5    8    4    
Vardas2399                       Pavarde2399                      4    7    1    4    10   8    
Vardas2400                       Pavarde2400                      4    4    5    5    2    8    
Vardas2401                       Pavarde2401                      9    8    2    4    1    3    
Vardas2402                       Pavarde2402                      6    7    7    3    3    2    
Vardas2403                       Pavarde2403                      3    4    4    10   10   1    
Vardas2404                       Pavarde2404                      10   5    1    8    4    5    
Vardas2405                       Pavarde2405                      1    3    6    1    3    10   
Vardas2406                       Pavarde2406                      4    8    5    6    9    3    
Vardas2407                       Pavarde2407                      2    5    8    4    7    6    
Vardas2408                       Pavarde2408                      7    1    4    1    2    6    
Vardas2409                       Pavarde2409                      6    6    8    2    9    4    
Vardas2410                       Pavarde2410                      7    8    9    6    2    3    
Vardas2411                       Pavarde2411                      2    7    9    2    9    8    
Vardas2412                       Pavarde2412                      5    4    6    4    3    4    
Vardas2413                       Pavarde2413                      8    9    3    10   6    2    
Vardas2414                       Pavarde2414                      7    2    1    1    2    4    
Vardas2415                       Pavarde2415                      10   10   1    4    2    9    
Vardas2416                       Pavarde2416                      10   9    7    2    6    5    
Vardas2417                       Pavarde2417                      10   8    1    3    1    6    
Vardas2418                       Pavarde2418                      5    1    3    1    8    6    
Vardas2419                       Pavarde2419                      1    9    7    3    2    2    
Vardas2420                       Pavarde2420                      8    9    10   5    8    6    
Vardas2421                       Pavarde2421                      7    5    1    1    4    10   
Vardas2422                       Pavarde2422                      5    4    4    5    2    3    
Vardas2423                       Pavarde2423                      6    4    10   10   2    9    
Vardas2424                       Pavarde2424                      10   3    8    7    2    2    
Vardas2425                       Pavarde2425                      2    4    10   8    7    10   
Vardas2426                       Pavarde2426                      3    4    6    6    2    3    
Vardas2427                       Pavarde2427                      9    10   10   4    9    1    
Vardas2428                       Pavarde2428                      6    3    8    4    6    5    
Vardas2429                       Pavarde2429                      6    4    2    10   4    7    
Vardas2430                       Pavarde2430                      4    9    5    9    10   5    
Vardas2431                       Pavarde2431                      7    3    5    5    6    6    
Vardas2432                       Pavarde2432                      2    1    8    10   1    3    
Vardas2433                       Pavarde2433                      9    6    1    1    5    4    
Vardas2434                       Pavarde2434                      2    1    5    7    9    3    
Vardas2435                       Pavarde2435                      4    5    4    1    4    9    
Vardas2436                       Pavarde2436                      6    2    4    3    5    9    
Vardas2437                       Pavarde2437                      1    4    10   1    6    7    
Vardas2438                       Pavarde2438                      1    6    5    4    9    4    
Vardas2439                       Pavarde2439                      9    4    3    8    8    10   
Vardas2440                       Pavarde2440                      1    8    1    5    7    4    
Vardas2441                       Pavarde2441                      6    3    1    10   5    10   
Vardas2442                       Pavarde2442                      6    5    8    4    6    3    
Vardas2443                       Pavarde2443                      3    10   7    6    2    5    
Vardas2444                       Pavarde2444                      3    4    2    9    9    1    
Vardas2445                       Pavarde2445                      5    5    6    8    6    1    
Vardas2446                       Pavarde2446                      5    1    10   7    10   7    
Vardas2447                       Pavarde2447                      8    4    10   5    6    5    
Vardas2448                       Pavarde2448                      2    4    1    1    8    10   
Vardas2449                       Pavarde2449                      8    6    1    1    4    10   
Vardas2450                       Pavarde2450                      1    10   1    3    6    4    
Vardas2451                       Pavarde2451                      7    7    2    1    9    8    
Vardas2452                       Pavarde2452                      4    4    2    7    1    3    
Vardas2453                       Pavarde2453                      10   1    7    4    7    9    
Vardas2454                       Pavarde2454                      6    6    2    5    7    1    
Vardas2455                       Pavarde2455                      4    4    8    6    6    3    
Vardas2456                       Pavarde2456                      8    9    2    10   8    1    
Vardas2457                       Pavarde2457                      1    2    3    2    3    9    
Vardas2458                       Pavarde2458                      10   9    8    7    6    6    
Vardas2459                       Pavarde2459                      7    9    2    7    7    2    
Vardas2460                       Pavarde2460                      5    5    6    2    9    6    
Vardas2461                       Pavarde2461                      2    4    1    8    1    2    
Vardas2462                       Pavarde2462                      1    10   6    7    5    5    
Vardas2463                       Pavarde2463                      1    5    2    4    5    7    
Vardas2464                       Pavarde2464                      9    10   3    4    4    6    
Vardas2465                       Pavarde2465                      4    6    4    4    3    5    
Vardas2466                       Pavarde2466                      3    9    8    10   1    8    
Vardas2467                       Pavarde2467                      2    4    9    7    2    2    
Vardas2468                       Pavarde2468                      3    7    8    2    1    6    
Vardas2469                       Pavarde2469                      8    7    9    7    9    4    
Vardas2470                       Pavarde2470                      7    4    7    10   5    6    
Vardas2471                       Pavarde2471                      4    10   3    8    2    8    
Vardas2472                       Pavarde2472                      6    4    2    4    2    7    
Vardas2473                       Pavarde2473                      6    5    1    5    10   3    
Vardas2474                       Pavarde2474                      7    7    10   1    4    3    
Vardas2475                       Pavarde2475                      6    5    5    8    10   1    
Vardas2476                       Pavarde2476                      8    6    6    3    1    3    
Vardas2477                       Pavarde2477                      3    1    10   3    7    7    
Vardas2478                       Pavarde2478                      3    8    3    7    5    4    
Vardas2479                       Pavarde2479                      4    8    10   2    10   9    
Vardas2480                       Pavarde2480                      3    6    7    1    3    1    
